archetype,scenario,seed,year,techs,researchActive,scholars,allTechDone
merchant,baseline,7,29,5,banking,0,0
merchant,baseline,7,30,5,banking,0,0
merchant,baseline,7,31,5,banking,0,0
merchant,baseline,7,32,5,banking,0,0
merchant,baseline,7,33,5,banking,0,0
merchant,baseline,7,34,5,banking,0,0
merchant,baseline,7,35,5,banking,0,0
merchant,baseline,7,36,5,banking,0,0
merchant,baseline,7,37,6,accounting,0,0
merchant,baseline,7,38,6,accounting,0,0
merchant,baseline,7,39,6,accounting,0,0
merchant,baseline,7,40,6,accounting,0,0
merchant,baseline,7,41,6,accounting,0,0
merchant,baseline,7,42,6,accounting,0,0
merchant,baseline,7,43,6,accounting,0,0
merchant,baseline,7,44,6,accounting,0,0
merchant,baseline,7,45,6,accounting,0,0
merchant,baseline,7,46,6,accounting,0,0
merchant,baseline,7,47,6,accounting,0,0
merchant,baseline,7,48,6,accounting,0,0
merchant,baseline,7,49,6,accounting,0,0
merchant,baseline,7,50,6,accounting,0,0
merchant,baseline,7,51,6,accounting,0,0
merchant,baseline,7,52,6,accounting,0,0
merchant,baseline,7,53,6,accounting,0,0
merchant,baseline,7,54,7,philosophy,0,0
merchant,baseline,7,55,7,philosophy,0,0
merchant,baseline,7,56,7,philosophy,0,0
merchant,baseline,7,57,7,philosophy,0,0
merchant,baseline,7,58,7,philosophy,0,0
merchant,baseline,7,59,7,philosophy,0,0
merchant,baseline,7,60,7,philosophy,0,0
merchant,baseline,7,61,7,philosophy,0,0
merchant,baseline,7,62,7,philosophy,0,0
merchant,baseline,7,63,7,philosophy,0,0
merchant,baseline,7,64,7,philosophy,0,0
merchant,baseline,7,65,8,guilds,0,0
merchant,baseline,7,66,8,guilds,0,0
merchant,baseline,7,67,8,guilds,0,0
merchant,baseline,7,68,8,guilds,0,0
merchant,baseline,7,69,8,guilds,0,0
merchant,baseline,7,70,8,guilds,0,0
merchant,baseline,7,71,8,guilds,0,0
merchant,baseline,7,72,8,guilds,0,0
merchant,baseline,7,73,8,guilds,0,0
merchant,baseline,7,74,8,guilds,0,0
merchant,baseline,7,75,8,guilds,0,0
merchant,baseline,7,76,9,,0,0
merchant,baseline,7,77,9,,0,0
merchant,baseline,7,78,9,,0,0
merchant,baseline,7,79,9,,0,0
merchant,baseline,7,80,9,,0,0
merchant,baseline,7,81,9,,0,0
merchant,baseline,7,82,9,,0,0
merchant,baseline,7,83,9,,0,0
merchant,baseline,7,84,9,,0,0
merchant,baseline,7,85,9,,0,0
merchant,baseline,7,86,9,,0,0
merchant,baseline,7,87,9,,0,0
merchant,baseline,7,88,9,,0,0
merchant,baseline,7,89,9,,0,0
merchant,baseline,7,90,9,,0,0
merchant,baseline,7,91,9,,0,0
merchant,baseline,7,92,9,,0,0
merchant,baseline,7,93,9,,0,0
merchant,baseline,7,94,9,,0,0
merchant,baseline,7,95,9,,0,0
merchant,baseline,7,96,9,,0,0
merchant,baseline,7,97,9,,0,0
merchant,baseline,7,98,9,,0,0
merchant,baseline,7,99,9,,0,0
merchant,baseline,7,100,9,,0,0
merchant,baseline,19,1,2,currency,0,0
merchant,baseline,19,2,2,currency,0,0
merchant,baseline,19,3,3,,0,0
merchant,baseline,19,4,3,masonry,0,0
merchant,baseline,19,5,3,masonry,0,0
merchant,baseline,19,6,3,masonry,0,0
merchant,baseline,19,7,4,,0,0
merchant,baseline,19,8,4,irrigation,0,0
merchant,baseline,19,9,4,irrigation,0,0
merchant,baseline,19,10,4,irrigation,0,0
merchant,baseline,19,11,5,banking,0,0
merchant,baseline,19,12,5,banking,0,0
merchant,baseline,19,13,5,banking,0,0
merchant,baseline,19,14,5,banking,0,0
merchant,baseline,19,15,5,banking,0,0
merchant,baseline,19,16,5,banking,0,0
merchant,baseline,19,17,5,banking,0,0
merchant,baseline,19,18,5,banking,0,0
merchant,baseline,19,19,6,accounting,0,0
merchant,baseline,19,20,6,accounting,0,0
merchant,baseline,19,21,6,accounting,0,0
merchant,baseline,19,22,6,accounting,0,0
merchant,baseline,19,23,6,accounting,0,0
merchant,baseline,19,24,6,accounting,0,0
merchant,baseline,19,25,6,accounting,0,0
merchant,baseline,19,26,6,accounting,0,0
merchant,baseline,19,27,6,accounting,0,0
merchant,baseline,19,28,7,philosophy,0,0
merchant,baseline,19,29,7,philosophy,0,0
merchant,baseline,19,30,7,philosophy,0,0
merchant,baseline,19,31,7,philosophy,0,0
merchant,baseline,19,32,7,philosophy,0,0
merchant,baseline,19,33,8,,0,0
merchant,baseline,19,34,8,guilds,0,0
merchant,baseline,19,35,8,guilds,0,0
merchant,baseline,19,36,8,guilds,0,0
merchant,baseline,19,37,8,guilds,0,0
merchant,baseline,19,38,8,guilds,0,0
merchant,baseline,19,39,9,,0,0
merchant,baseline,19,40,9,,0,0
merchant,baseline,19,41,9,,0,0
merchant,baseline,19,42,9,,0,0
merchant,baseline,19,43,9,,0,0
merchant,baseline,19,44,9,,0,0
merchant,baseline,19,45,9,,0,0
merchant,baseline,19,46,9,,0,0
merchant,baseline,19,47,9,,0,0
merchant,baseline,19,48,9,,0,0
merchant,baseline,19,49,9,,0,0
merchant,baseline,19,50,9,,0,0
merchant,baseline,19,51,9,,0,0
merchant,baseline,19,52,9,,0,0
merchant,baseline,19,53,9,,0,0
merchant,baseline,19,54,9,,0,0
merchant,baseline,19,55,9,,0,0
merchant,baseline,19,56,9,,0,0
merchant,baseline,19,57,9,,0,0
merchant,baseline,19,58,9,,0,0
merchant,baseline,19,59,9,,0,0
merchant,baseline,19,60,9,,0,0
merchant,baseline,19,61,9,,0,0
merchant,baseline,19,62,9,,0,0
merchant,baseline,19,63,9,,0,0
merchant,baseline,19,64,9,,0,0
merchant,baseline,19,65,9,,0,0
merchant,baseline,19,66,9,,0,0
merchant,baseline,19,67,9,,0,0
merchant,baseline,19,68,9,,0,0
merchant,baseline,19,69,9,,0,0
merchant,baseline,19,70,9,,0,0
merchant,baseline,19,71,9,,0,0
merchant,baseline,19,72,9,,0,0
merchant,baseline,19,73,9,,0,0
merchant,baseline,19,74,9,,0,0
merchant,baseline,19,75,9,,0,0
merchant,baseline,19,76,9,,0,0
merchant,baseline,19,77,9,,0,0
merchant,baseline,19,78,9,,0,0
merchant,baseline,19,79,9,,0,0
merchant,baseline,19,80,9,,0,0
merchant,baseline,19,81,9,,0,0
merchant,baseline,19,82,9,,0,0
merchant,baseline,19,83,9,,0,0
merchant,baseline,19,84,9,,0,0
merchant,baseline,19,85,9,,0,0
merchant,baseline,19,86,9,,0,0
merchant,baseline,19,87,9,,0,0
merchant,baseline,19,88,9,,0,0
merchant,baseline,19,89,9,,0,0
merchant,baseline,19,90,9,,0,0
merchant,baseline,19,91,9,,0,0
merchant,baseline,19,92,9,,0,0
merchant,baseline,19,93,9,,0,0
merchant,baseline,19,94,9,,0,0
merchant,baseline,19,95,9,,0,0
merchant,baseline,19,96,9,,0,0
merchant,baseline,19,97,9,,0,0
merchant,baseline,19,98,9,,0,0
merchant,baseline,19,99,9,,0,0
merchant,baseline,19,100,9,,0,0
merchant,baseline,42,1,2,currency,0,0
merchant,baseline,42,2,2,currency,0,0
merchant,baseline,42,3,2,currency,0,0
merchant,baseline,42,4,2,currency,0,0
merchant,baseline,42,5,2,currency,0,0
merchant,baseline,42,6,3,,0,0
merchant,baseline,42,7,3,masonry,0,0
merchant,baseline,42,8,3,masonry,0,0
merchant,baseline,42,9,3,masonry,0,0
merchant,baseline,42,10,3,masonry,0,0
merchant,baseline,42,11,3,masonry,0,0
merchant,baseline,42,12,3,masonry,0,0
merchant,baseline,42,13,3,masonry,0,0
merchant,baseline,42,14,4,,0,0
merchant,baseline,42,15,4,irrigation,0,0
merchant,baseline,42,16,4,irrigation,0,0
merchant,baseline,42,17,4,irrigation,0,0
merchant,baseline,42,18,4,irrigation,0,0
merchant,baseline,42,19,4,irrigation,0,0
merchant,baseline,42,20,5,banking,0,0
merchant,baseline,42,21,5,banking,0,0
merchant,baseline,42,22,5,banking,0,0
merchant,baseline,42,23,5,banking,0,0
merchant,baseline,42,24,5,banking,0,0
merchant,baseline,42,25,5,banking,0,0
merchant,baseline,42,26,5,banking,0,0
merchant,baseline,42,27,5,banking,0,0
merchant,baseline,42,28,5,banking,0,0
merchant,baseline,42,29,5,banking,0,0
merchant,baseline,42,30,5,banking,0,0
merchant,baseline,42,31,5,banking,0,0
merchant,baseline,42,32,5,banking,0,0
merchant,baseline,42,33,5,banking,0,0
merchant,baseline,42,34,6,accounting,0,0
merchant,baseline,42,35,6,accounting,0,0
merchant,baseline,42,36,6,accounting,0,0
merchant,baseline,42,37,6,accounting,0,0
merchant,baseline,42,38,6,accounting,0,0
merchant,baseline,42,39,6,accounting,0,0
merchant,baseline,42,40,6,accounting,0,0
merchant,baseline,42,41,6,accounting,0,0
merchant,baseline,42,42,6,accounting,0,0
merchant,baseline,42,43,6,accounting,0,0
merchant,baseline,42,44,6,accounting,0,0
merchant,baseline,42,45,6,accounting,0,0
merchant,baseline,42,46,6,accounting,0,0
merchant,baseline,42,47,6,accounting,0,0
merchant,baseline,42,48,6,accounting,0,0
merchant,baseline,42,49,6,accounting,0,0
merchant,baseline,42,50,6,accounting,0,0
merchant,baseline,42,51,6,accounting,0,0
merchant,baseline,42,52,7,philosophy,0,0
merchant,baseline,42,53,7,philosophy,0,0
merchant,baseline,42,54,7,philosophy,0,0
merchant,baseline,42,55,7,philosophy,0,0
merchant,baseline,42,56,7,philosophy,0,0
merchant,baseline,42,57,7,philosophy,0,0
merchant,baseline,42,58,7,philosophy,0,0
merchant,baseline,42,59,7,philosophy,0,0
merchant,baseline,42,60,7,philosophy,0,0
merchant,baseline,42,61,7,philosophy,0,0
merchant,baseline,42,62,7,philosophy,0,0
merchant,baseline,42,63,8,guilds,0,0
merchant,baseline,42,64,8,guilds,0,0
merchant,baseline,42,65,8,guilds,0,0
merchant,baseline,42,66,8,guilds,0,0
merchant,baseline,42,67,8,guilds,0,0
merchant,baseline,42,68,8,guilds,0,0
merchant,baseline,42,69,8,guilds,0,0
merchant,baseline,42,70,8,guilds,0,0
merchant,baseline,42,71,8,guilds,0,0
merchant,baseline,42,72,8,guilds,0,0
merchant,baseline,42,73,9,,0,0
merchant,baseline,42,74,9,,0,0
merchant,baseline,42,75,9,,0,0
merchant,baseline,42,76,9,,0,0
merchant,baseline,42,77,9,,0,0
merchant,baseline,42,78,9,,0,0
merchant,baseline,42,79,9,,0,0
merchant,baseline,42,80,9,,0,0
merchant,baseline,42,81,9,,0,0
merchant,baseline,42,82,9,,0,0
merchant,baseline,42,83,9,,0,0
merchant,baseline,42,84,9,,0,0
merchant,baseline,42,85,9,,0,0
merchant,baseline,42,86,9,,0,0
merchant,baseline,42,87,9,,0,0
merchant,baseline,42,88,9,,0,0
merchant,baseline,42,89,9,,0,0
merchant,baseline,42,90,9,,0,0
merchant,baseline,42,91,9,,0,0
merchant,baseline,42,92,9,,0,0
merchant,baseline,42,93,9,,0,0
merchant,baseline,42,94,9,,0,0
merchant,baseline,42,95,9,,0,0
merchant,baseline,42,96,9,,0,0
