archetype,seed,year,spyPosts,freeSpies,spyTech
exploit-hunter,7,33,0,0,0
exploit-hunter,7,34,0,0,0
exploit-hunter,7,35,0,0,0
exploit-hunter,7,36,0,0,0
exploit-hunter,7,37,0,0,0
exploit-hunter,7,38,0,0,0
exploit-hunter,7,39,0,0,0
exploit-hunter,7,40,0,0,0
exploit-hunter,7,41,0,0,0
exploit-hunter,7,42,0,0,0
exploit-hunter,7,43,0,0,0
exploit-hunter,7,44,0,0,0
exploit-hunter,7,45,0,0,0
exploit-hunter,7,46,0,0,0
exploit-hunter,7,47,0,0,0
exploit-hunter,7,48,0,0,0
exploit-hunter,7,49,0,0,0
exploit-hunter,7,50,0,0,0
exploit-hunter,7,51,0,0,0
exploit-hunter,7,52,0,0,0
exploit-hunter,7,53,0,0,0
exploit-hunter,7,54,0,0,0
exploit-hunter,7,55,0,0,0
exploit-hunter,7,56,0,0,0
exploit-hunter,7,57,0,0,0
exploit-hunter,7,58,0,0,0
exploit-hunter,7,59,0,0,0
exploit-hunter,7,60,0,0,0
exploit-hunter,42,1,0,0,0
exploit-hunter,42,2,0,0,0
exploit-hunter,42,3,0,0,0
exploit-hunter,42,4,0,0,0
exploit-hunter,42,5,0,0,0
exploit-hunter,42,6,0,0,0
exploit-hunter,42,7,0,0,0
exploit-hunter,42,8,0,0,0
exploit-hunter,42,9,0,0,0
exploit-hunter,42,10,0,0,0
exploit-hunter,42,11,0,0,0
exploit-hunter,42,12,0,0,0
exploit-hunter,42,13,0,0,0
exploit-hunter,42,14,0,0,0
exploit-hunter,42,15,0,0,0
exploit-hunter,42,16,0,0,0
exploit-hunter,42,17,0,0,0
exploit-hunter,42,18,0,0,0
exploit-hunter,42,19,0,0,0
exploit-hunter,42,20,0,0,0
exploit-hunter,42,21,0,0,0
exploit-hunter,42,22,0,0,0
exploit-hunter,42,23,0,0,0
exploit-hunter,42,24,0,0,0
exploit-hunter,42,25,0,0,0
exploit-hunter,42,26,0,0,0
exploit-hunter,42,27,0,0,0
exploit-hunter,42,28,0,0,0
exploit-hunter,42,29,0,0,0
exploit-hunter,42,30,0,0,0
exploit-hunter,42,31,0,0,0
exploit-hunter,42,32,0,0,0
exploit-hunter,42,33,0,0,0
exploit-hunter,42,34,0,0,0
exploit-hunter,42,35,0,0,0
exploit-hunter,42,36,0,0,0
exploit-hunter,42,37,0,0,0
exploit-hunter,42,38,0,0,0
exploit-hunter,42,39,0,0,0
exploit-hunter,42,40,0,0,0
exploit-hunter,42,41,0,0,0
exploit-hunter,42,42,0,0,0
exploit-hunter,42,43,0,0,0
exploit-hunter,42,44,0,0,0
exploit-hunter,42,45,0,0,0
